GENERO ESTATURA MASA EDAD GASTOM TIEMPO INGRESO GASERV
MUJER 155.9 50.4 26.5 387.0 130.6 917.1 148.8
MUJER 165.5 63.0 22.9 417.6 32.5 612.0 156.0
MUJER 179.7 53.2 25.9 396.9 6.1 2282.4 151.2
MUJER 151.4 46.3 23.7 396.9 23.0 1534.5 141.6
HOMBRE 168.1 81.4 28.2 496.2 26.8 2318.4 144.3
HOMBRE 180.1 76.3 28.6 505.2 76.1 1527.0 157.5
HOMBRE 179.0 83.2 32.0 500.7 40.0 2313.9 154.2
HOMBRE 180.8 78.9 27.5 484.2 6.5 535.5 165.9
MUJER 163.6 49.5 27.2 381.3 20.3 1497.9 176.4
HOMBRE 175.7 75.4 31.6 496.8 43.0 840.0 147.0
MUJER 158.3 51.7 26.6 410.4 4.8 604.8 141.3
MUJER 162.0 47.4 24.7 423.3 12.7 1552.5 146.1
HOMBRE 177.5 75.3 30.1 479.7 47.0 853.8 142.5
HOMBRE 160.6 86.0 28.1 507.6 10.1 1489.8 157.5
HOMBRE 186.4 72.2 32.6 515.1 30.0 624.9 149.4
HOMBRE 182.2 73.2 26.3 484.5 2.9 603.0 159.6
MUJER 165.4 48.2 22.4 400.8 18.4 889.8 152.7
HOMBRE 162.1 75.4 28.9 509.7 5.5 548.4 150.0
MUJER 141.3 55.4 23.2 389.7 33.8 618.9 157.5
HOMBRE 182.3 81.4 27.0 516.0 30.1 1458.9 145.5
MUJER 163.3 53.2 26.2 399.0 63.4 892.2 159.0
HOMBRE 175.6 79.7 36.3 500.1 170.9 946.8 137.7
MUJER 155.6 52.0 20.2 402.6 16.9 907.5 168.0
MUJER 171.3 53.0 26.6 398.4 19.1 894.0 169.8
MUJER 153.3 53.7 24.5 402.3 3.7 589.5 160.2
HOMBRE 160.4 77.0 29.4 512.4 25.5 1476.3 162.0
HOMBRE 180.4 75.8 26.8 486.0 11.2 1538.7 156.6
HOMBRE 169.3 86.8 28.5 503.7 20.1 603.3 126.9
HOMBRE 158.8 74.8 31.0 506.1 128.2 919.5 150.6
HOMBRE 174.3 64.5 27.7 480.0 25.3 1809.3 170.1
HOMBRE 155.6 68.3 26.3 495.6 17.8 924.9 164.7
HOMBRE 168.2 79.6 27.9 487.5 40.1 903.0 163.8
MUJER 164.3 66.0 20.5 391.2 34.7 598.5 132.3
MUJER 169.1 53.8 23.6 399.3 71.1 921.9 142.2
MUJER 177.7 57.6 21.5 413.7 51.1 1480.5 143.1
HOMBRE 177.0 72.0 35.0 503.7 8.3 917.4 153.9
MUJER 179.3 57.5 26.1 406.2 9.0 907.8 140.7
HOMBRE 183.2 76.2 32.1 505.8 32.5 552.6 135.6
HOMBRE 172.3 71.2 31.6 502.2 48.2 1708.5 107.4
HOMBRE 158.8 70.0 31.2 505.5 1.0 2310.9 148.5
HOMBRE 157.3 68.2 32.0 501.6 69.8 926.7 177.0
HOMBRE 167.4 66.3 34.4 500.7 9.2 1502.7 137.1
HOMBRE 154.5 77.0 27.0 504.9 9.7 952.2 160.8
HOMBRE 182.2 78.1 29.0 489.3 14.5 571.8 154.2
MUJER 169.8 59.2 26.5 398.1 36.3 935.1 127.2
HOMBRE 181.5 72.3 32.9 500.7 2.5 981.6 155.7
HOMBRE 183.5 73.6 30.4 495.3 53.4 1784.7 163.5
HOMBRE 165.9 77.1 29.6 479.4 37.1 1511.7 132.9
MUJER 155.8 57.2 24.6 398.4 56.7 904.2 142.2
HOMBRE 181.3 76.8 27.7 500.1 13.3 922.5 169.2
HOMBRE 167.5 67.6 30.5 501.3 140.7 1452.9 148.2
HOMBRE 155.4 78.8 28.9 500.1 1.2 552.6 157.2
MUJER 145.7 54.3 25.2 389.4 7.6 899.1 131.4
MUJER 155.4 51.9 20.0 397.5 30.0 1802.1 149.7
MUJER 149.0 54.3 27.0 404.1 52.4 923.7 155.4
HOMBRE 186.0 71.9 27.0 503.4 21.2 1873.2 131.7
HOMBRE 187.2 82.1 28.9 488.7 19.4 911.7 125.4
HOMBRE 168.2 73.2 29.2 510.9 20.7 1522.5 157.8
MUJER 158.5 54.9 22.9 398.1 55.5 596.4 168.9
HOMBRE 173.2 84.7 31.3 511.2 24.2 1518.0 159.6
HOMBRE 181.4 76.3 32.5 492.0 105.6 1547.1 174.3
HOMBRE 160.4 65.7 28.5 499.8 19.9 897.0 147.0
HOMBRE 168.6 74.7 34.7 498.6 3.3 1473.0 123.6
MUJER 166.6 65.2 27.9 385.2 57.6 1513.5 156.0
MUJER 169.0 55.1 24.9 400.5 25.0 924.6 147.9
MUJER 151.1 56.7 26.4 394.2 24.1 1479.3 141.3
MUJER 166.4 52.9 20.6 406.8 25.4 1450.5 129.0
MUJER 164.0 47.7 25.7 414.3 1.6 1472.7 164.4
MUJER 166.9 55.1 24.1 394.2 20.5 1521.0 127.8
HOMBRE 158.9 77.1 27.9 499.2 24.6 1512.0 150.9
HOMBRE 166.0 79.7 28.3 486.9 23.6 877.5 134.7
MUJER 150.4 53.8 22.8 410.1 18.6 599.7 156.3
HOMBRE 170.2 78.5 32.5 490.8 8.0 1586.4 139.2
MUJER 162.3 57.6 22.3 387.3 1.6 940.5 153.6
HOMBRE 148.4 77.9 25.4 500.7 3.0 1575.0 157.5
HOMBRE 183.8 70.9 33.5 486.9 83.7 1490.4 135.3
HOMBRE 168.8 75.1 26.8 498.3 3.6 1517.4 150.3
HOMBRE 179.5 84.9 29.9 512.4 0.3 1485.3 143.7
HOMBRE 170.8 78.0 31.3 485.4 4.7 931.5 175.8
HOMBRE 167.6 63.4 29.8 482.7 47.3 1781.1 108.3
MUJER 161.8 55.4 28.4 413.4 3.9 932.1 128.1
MUJER 176.3 58.3 23.7 412.2 4.3 910.8 158.4
HOMBRE 160.6 62.9 34.1 502.8 108.2 603.6 134.1
MUJER 143.9 45.3 24.9 410.7 19.7 547.2 162.3
HOMBRE 161.2 73.3 30.0 490.5 17.2 597.3 159.6
MUJER 150.6 51.7 26.7 402.0 0.9 907.5 163.8
HOMBRE 172.1 88.3 30.1 510.6 8.3 933.6 159.3
MUJER 167.6 42.8 22.5 391.2 25.4 850.8 118.8
MUJER 165.1 51.7 27.9 403.8 3.5 1509.9 150.3
HOMBRE 175.1 76.3 25.3 519.6 7.0 617.1 132.6
MUJER 163.9 57.6 25.8 405.0 14.8 583.5 147.3
HOMBRE 176.3 64.3 33.8 509.7 65.6 1519.8 153.6
HOMBRE 191.7 68.1 26.0 509.1 10.9 584.4 146.1
MUJER 167.6 64.2 24.3 393.0 20.1 865.2 168.0
HOMBRE 183.2 69.9 28.9 501.6 45.5 909.6 138.3
HOMBRE 158.2 79.9 36.9 471.3 105.8 1402.5 151.5
HOMBRE 169.4 83.4 25.7 491.1 44.4 1542.0 147.3
HOMBRE 179.5 73.3 27.5 513.0 17.2 1464.0 171.0
MUJER 156.8 62.9 26.9 403.5 23.1 945.6 117.3
HOMBRE 178.7 77.4 27.1 498.6 16.5 610.5 153.9
HOMBRE 183.0 72.7 25.9 500.7 6.3 548.1 102.3
HOMBRE 170.2 75.3 31.5 497.1 46.1 2268.3 171.9
MUJER 155.0 54.0 24.8 408.9 12.6 924.9 150.3
HOMBRE 180.2 73.7 27.9 490.5 30.8 906.0 166.5
HOMBRE 167.6 74.9 34.6 506.1 39.6 938.4 164.4
MUJER 156.3 49.2 23.8 405.3 21.7 583.2 144.0
HOMBRE 180.7 73.4 30.3 500.7 49.6 593.7 150.9
HOMBRE 169.1 82.6 34.0 504.0 8.1 919.2 130.5
HOMBRE 171.8 65.8 29.2 494.7 4.7 1494.0 142.5
HOMBRE 171.4 82.8 24.9 495.6 69.9 1479.0 129.0
MUJER 173.9 65.8 26.8 384.0 45.7 1499.1 150.0
HOMBRE 170.0 74.8 30.9 489.3 43.1 873.9 160.8
HOMBRE 185.0 81.3 29.0 487.8 20.0 1490.4 154.2
HOMBRE 153.5 70.9 31.0 508.8 63.9 1464.0 173.7
HOMBRE 178.2 73.7 31.2 499.5 4.1 1442.4 163.8
MUJER 157.4 49.3 27.1 401.1 15.5 603.3 150.9
MUJER 164.5 69.1 26.4 390.6 3.3 1515.3 126.0
HOMBRE 158.7 76.8 30.9 508.8 46.7 606.3 168.3
HOMBRE 178.2 74.3 28.5 508.5 5.7 861.3 161.4
HOMBRE 190.4 76.7 24.4 499.8 2.0 875.1 130.2
HOMBRE 180.4 72.4 29.3 497.7 20.7 898.2 138.9
MUJER 158.4 54.4 23.4 402.6 182.7 1512.0 132.6
HOMBRE 175.9 74.1 28.1 491.7 10.3 892.2 150.6
HOMBRE 163.2 75.4 32.8 499.8 54.4 1537.5 148.8
MUJER 160.8 56.3 20.6 384.3 8.3 893.7 162.3
HOMBRE 179.3 72.6 30.8 495.6 1.0 1489.5 138.9
MUJER 159.7 51.0 28.0 419.7 12.1 910.8 133.5
MUJER 156.0 52.8 18.7 395.1 66.0 866.1 136.5
MUJER 159.8 46.9 24.9 408.3 3.6 927.6 177.9
MUJER 159.4 54.1 27.4 415.2 25.1 549.9 130.2
HOMBRE 173.0 72.3 31.6 503.1 2.4 1554.0 163.2
MUJER 161.4 54.7 23.9 405.3 2.4 1876.5 174.6
HOMBRE 164.2 76.7 33.2 482.4 89.3 557.1 168.3
HOMBRE 183.2 76.6 26.2 503.7 107.1 1529.4 125.1
MUJER 165.0 64.0 29.7 408.9 5.7 1748.7 160.8
MUJER 175.0 53.0 26.2 404.7 34.8 603.6 135.6
HOMBRE 181.5 70.2 26.9 519.6 56.1 598.2 117.3
